index,ID,Tweet,Timestamp,Likes,Retweets,Length
73,1498655747772928001,"إليكم أبرز الأشياء التي يجب رؤيتها، إذا لم تكونوا قد فعلتم، قبل أن يُغلق #إكسبو2020 دبي أبوابه في 31 مارس 2022

#عينك_على_إكسبو⁩
⁦#expo2020 ⁩ ⁦@expo2020dubai
https://t.co/GgzWmfN61G",2022-03-01 13:45:48+00:00,0,0,181
74,1498625570694905857,"أجنحة الدول المشاركة في إكسبو 2020 #دبي تمدد ساعات عملها في شهر مارس
https://t.co/qzSOHYT3jt https://t.co/UVffACxBh9",2022-03-01 11:45:53+00:00,1,0,116
75,1498621828843335681,"أجنحة الدول المشاركة في إكسبو 2020 #دبي تمدد ساعات عملها في شهر مارس
https://t.co/rCcjJ39tRo https://t.co/TvXx4no3yS",2022-03-01 11:31:01+00:00,34,11,116
76,1498608190657019905,"بعروض تقليدية جسّدت التنوع الثقافي في البلاد.. أرض التنوع والاستدامة "" #بابوا_غينيا الجديدة تحتفل بيومها الوطني في #إكسبو2020 #دبي

#عينك_على_إكسبو  
@expo2020dubai #Expo2020
https://t.co/nWvKxEuBgR",2022-03-01 10:36:50+00:00,2,1,198
77,1498591373011808256,"بموسيقى الزمن الجميل.. فرقة ""فيليدج بيبول"" تبهر زوار #إكسبو2020 #دبي التي عادت بهم إلى موسيقى السبعينيات الرائعة

#عينك_على_إكسبو  
@expo2020dubai #Expo2020
https://t.co/XZxhq6Mv44",2022-03-01 09:30:00+00:00,2,2,180
78,1498589298047823874,التقيت اليوم بفضيلة الشيخ إدريس أبكر إمام جامع الشيخ زايد الكبير بأبوظبي خلال المؤتمر الصحفي للاعلان عن جائزة  التحبير بدورتها ٨ والتي تقام برعاية كريمة من الفريق سمو الشيخ سيف بن زايد آل نهيان نائب رئيس مجلس الوزراء وزير الداخلية حفظه الله وقد عقد المؤتمر الصحفي في مقرDubai Expo https://t.co/dVjyOmqhu2,2022-03-01 09:21:45+00:00,7,2,304
79,1498580354529124354,"The Women’s Pavilion by Expo 2020 Dubai in collaboration with @Cartier 

انضم إلينا في مؤتمر #BreakTheBias في 8 مارس في إكسبو 2020 دبي حيث سنكتشف معاً طرقًا لتفكيك الصور النمطية للجنسين ودفع الجهود لتحقيق المساواة،",2022-03-01 08:46:13+00:00,4,2,214
80,1498557139924959232,"وسط موجات من التصفيق الحار..  
 أحيت الفرقة الشعبية الرومانية الراقصة، حفلا ضمن فعاليات #إكسبو2020 #دبي الفنية والثقافية

#عينك_على_إكسبو  
@expo2020dubai #Expo2020
https://t.co/NvSeAIcw6N",2022-03-01 07:13:58+00:00,2,2,188
81,1501448951471345666,"الجزائر تهدي #اكسبو2020 دبي طابعين بريدين تخليداً للحدث الدولي 

للتفاصيل: https://t.co/4kKMxVg6Rl 

#نتصدر_المشهد
#Expo2020
@expo2020dubai",2022-03-09 06:45:00+00:00,0,0,139
82,1501444851883200512,@AlBayanNews @expo2020dubai كيف يمكن الحصول عليه؟,2022-03-09 06:28:42+00:00,0,0,49
